147.102.13.0 net.netmode.ece.ntua.gr.
147.102.13.121 efipsans.netmode.ece.ntua.gr.
147.102.13.122 box.netmode.ece.ntua.gr.
147.102.13.123 vnews.netmode.ece.ntua.gr.
147.102.13.124 copier.netmode.ece.ntua.gr.
147.102.13.125 null.netmode.ece.ntua.gr.
147.102.13.126 vFreebsd.netmode.ece.ntua.gr.
147.102.13.127 vUbuntu.netmode.ece.ntua.gr.
147.102.13.128 skywalker-man.netmode.ece.ntua.gr.
147.102.13.129 skywalker.netmode.ece.ntua.gr.
147.102.13.130 dhcp-130.netmode.ece.ntua.gr.
147.102.13.131 dhcp-131.netmode.ece.ntua.gr.
147.102.13.132 dhcp-132.netmode.ece.ntua.gr.
147.102.13.133 dhcp-133.netmode.ece.ntua.gr.
147.102.13.134 dhcp-134.netmode.ece.ntua.gr.
147.102.13.135 dhcp-135.netmode.ece.ntua.gr.
147.102.13.136 dhcp-136.netmode.ece.ntua.gr.
147.102.13.137 dhcp-137.netmode.ece.ntua.gr.
147.102.13.138 dhcp-138.netmode.ece.ntua.gr.
147.102.13.139 dhcp-139.netmode.ece.ntua.gr.
147.102.13.140 batman.netmode.ece.ntua.gr.
147.102.13.141 storm.netmode.ece.ntua.gr.
147.102.13.142 storm-man.netmode.ece.ntua.gr.
147.102.13.143 mariana.netmode.ece.ntua.gr.
147.102.13.144 aris-pc.netmode.ece.ntua.gr.
147.102.13.145 vmyplc.netmode.ece.ntua.gr.
147.102.13.146 No PTR record found
147.102.13.147 No PTR record found
147.102.13.148 No PTR record found
147.102.13.149 No PTR record found
147.102.13.150 No PTR record found
147.102.13.151 No PTR record found
147.102.13.152 No PTR record found
147.102.13.153 No PTR record found
147.102.13.154 No PTR record found
147.102.13.155 No PTR record found
147.102.13.156 No PTR record found
147.102.13.157 No PTR record found
147.102.13.158 No PTR record found
147.102.13.159 No PTR record found
147.102.13.160 No PTR record found
147.102.13.161 cplex3.netmode.ece.ntua.gr.
147.102.13.162 cplex2.netmode.ece.ntua.gr.
147.102.13.163 cplex.netmode.ece.ntua.gr.
147.102.13.164 ulanbator.netmode.ece.ntua.gr.
147.102.13.165 kadahar.netmode.ece.ntua.gr.
147.102.13.166 inhambane.netmode.ece.ntua.gr.
147.102.13.167 mary-printer.netmode.ece.ntua.gr.
147.102.13.168 tefis.netmode.ece.ntua.gr.
147.102.13.169 casanova.netmode.ece.ntua.gr.
147.102.13.170 mute.netmode.ece.ntua.gr.
147.102.13.171 marypc.netmode.ece.ntua.gr.
147.102.13.172 mary-laptop.netmode.ece.ntua.gr.
147.102.13.173 vasileios.netmode.ece.ntua.gr.
147.102.13.174 ramanujan.netmode.ece.ntua.gr.
147.102.13.175 netrino.netmode.ece.ntua.gr.
147.102.13.176 idomeneas.netmode.ece.ntua.gr.
147.102.13.177 attalea.netmode.ece.ntua.gr.
147.102.13.178 tasaki.netmode.ece.ntua.gr.
147.102.13.179 sorch.netmode.ece.ntua.gr.
147.102.13.180 debmon.netmode.ece.ntua.gr.
147.102.13.181 vostro.netmode.ece.ntua.gr.
147.102.13.182 rico.netmode.ece.ntua.gr.
147.102.13.183 coyiotis.netmode.ece.ntua.gr.
147.102.13.184 wizard.netmode.ece.ntua.gr.
147.102.13.185 orwell.netmode.ece.ntua.gr.
147.102.13.186 mcs.netmode.ece.ntua.gr.
147.102.13.187 cloudcdn.netmode.ece.ntua.gr.
147.102.13.188 No PTR record found
147.102.13.189 No PTR record found
147.102.13.190 git.netmode.ece.ntua.gr.
147.102.13.191 No PTR record found
147.102.13.192 No PTR record found
147.102.13.193 No PTR record found
147.102.13.194 No PTR record found
147.102.13.195 No PTR record found
147.102.13.196 No PTR record found
147.102.13.197 No PTR record found
147.102.13.198 No PTR record found
147.102.13.199 No PTR record found
147.102.13.200 router.netmode.ece.ntua.gr.
147.102.13.201 No PTR record found
147.102.13.202 No PTR record found
147.102.13.203 No PTR record found
147.102.13.204 No PTR record found
147.102.13.205 No PTR record found
147.102.13.206 No PTR record found
147.102.13.207 No PTR record found
147.102.13.208 No PTR record found
147.102.13.209 No PTR record found
147.102.13.210 dhcp-210.netmode.ece.ntua.gr.
147.102.13.211 dhcp-211.netmode.ece.ntua.gr.
147.102.13.212 dhcp-212.netmode.ece.ntua.gr.
147.102.13.213 dhcp-213.netmode.ece.ntua.gr.
147.102.13.214 dhcp-214.netmode.ece.ntua.gr.
147.102.13.215 dhcp-215.netmode.ece.ntua.gr.
147.102.13.216 dhcp-216.netmode.ece.ntua.gr.
147.102.13.217 dhcp-217.netmode.ece.ntua.gr.
147.102.13.218 dhcp-218.netmode.ece.ntua.gr.
147.102.13.219 dhcp-219.netmode.ece.ntua.gr.
147.102.13.220 No PTR record found
147.102.13.221 No PTR record found
147.102.13.222 No PTR record found
147.102.13.223 No PTR record found
147.102.13.224 No PTR record found
147.102.13.225 No PTR record found
147.102.13.226 No PTR record found
147.102.13.227 No PTR record found
147.102.13.228 No PTR record found
147.102.13.229 No PTR record found
147.102.13.230 wolverine-man.netmode.ece.ntua.gr.
147.102.13.231 wolverine.netmode.ece.ntua.gr.
147.102.13.232 pdu0.netmode.ece.ntua.gr.
147.102.13.233 taratsa.netmode.ece.ntua.gr.
147.102.13.234 No PTR record found
147.102.13.235 No PTR record found
147.102.13.236 nec-sw.netmode.ece.ntua.gr.
147.102.13.237 repository.netmode.ece.ntua.gr.
147.102.13.238 kdc.netmode.ece.ntua.gr.
147.102.13.239 mx80.netmode.ece.ntua.gr.
147.102.13.240 hulk-man.netmode.ece.ntua.gr.
147.102.13.241 hulk.netmode.ece.ntua.gr.
147.102.13.242 xavier-man.netmode.ece.ntua.gr.
147.102.13.243 xavier.netmode.ece.ntua.gr.
147.102.13.244 magneto-man.netmode.ece.ntua.gr.
147.102.13.245 magneto.netmode.ece.ntua.gr.
147.102.13.246 cyclops.netmode.ece.ntua.gr.
147.102.13.247 cyclops-man.netmode.ece.ntua.gr.
147.102.13.248 space.netmode.ece.ntua.gr.
147.102.13.249 space-man.netmode.ece.ntua.gr.
147.102.13.250 hp-sw.netmode.ece.ntua.gr.
147.102.13.251 juniper-sw.netmode.ece.ntua.gr.
147.102.13.252 cisco-sw.netmode.ece.ntua.gr.
147.102.13.253 dolly-man.netmode.ece.ntua.gr.
147.102.13.254 linksys-sw.netmode.ece.ntua.gr.
